PC1,PC2,Cluster
-4.296257398811088,-0.2107622349871652,2
-4.487693564007695,3.785345624822937,2
1.8758492071984043,-1.5812464394945054,1
1.3485880413303983,-1.3757479154796104,1
-0.946250485872166,-2.419903308677854,0
-4.547495620413198,-0.3949584789864727,2
0.7407391327541065,-0.4721891796150257,0
-1.937455810924404,0.332625290228162,2
0.1945838634687756,-1.372541361255997,0
2.345338743830499,-1.812605454893448,1
-4.10547829180547,-1.494958627208929,2
0.5056639827117453,-0.2363502697467711,0
2.9610878300192547,6.030696339101988,3
0.3000781772114957,-1.0642305528900955,0
-4.132873123917592,0.3642221215873329,2
3.0725326470275527,-1.927943070914356,1
2.610123714586488,-0.4398706209265062,1
2.424949978291728,0.342242312188706,1
-3.1820030429805275,-1.605722590794179,0
-1.2370174934180105,-1.040987005114372,0
-1.1991234945053455,-2.079029229480712,0
3.687758409349068,-1.6605843170290422,1
-0.1778666589431469,1.342966407143099,3
3.3799254131316943,-0.8010776139551901,1
-0.2226151259106766,-0.0957487253588812,0
4.152029572364651,0.1919615028442594,1
-0.064602789135021,-1.1623144205557294,0
3.1775126995951357,-1.2934134427625752,1
-0.7396001442857421,-1.515876776970566,0
4.35982087594899,-0.0592611273638623,1
2.035626684229207,0.816775355350793,1
-4.480138152610185,3.3029928121494097,2
-0.5981156863506072,-1.294115379173502,0
-3.821351271235879,-1.9917972256644232,0
2.1197757870263243,0.1432818986816329,1
1.6481589963044725,-1.8645731068838205,1
-1.131680764718211,0.6827922119928505,2
3.062462864641164,-1.282535806002875,1
-2.082938242296851,2.837794447150745,2
-0.2638139499640913,-2.5155855991036167,0
-4.809190760552075,-0.0779936836476954,2
-2.8380670636106125,1.5085162725293495,2
3.657053699261421,-0.2317414215865814,1
3.061404548792416,1.1022478476324375,1
2.672625682207727,-1.2576034270076004,1
1.160225865099396,3.194949154263965,3
4.468254548802816,0.0619533853530949,1
-1.442726923398948,0.0016720884172738,0
-3.1066795912983123,2.400664373375431,2
-1.5388488225963406,2.008365476982896,2
3.971153298437657,-0.5148101088217654,1
-5.122477723608362,3.8374019024073736,2
1.5820071740003676,-0.5665400898526312,1
-1.3869773187202756,-1.5428036981935582,0
2.2464682270509693,3.294368959254047,3
-1.4819016935183968,-2.4326063170418792,0
-1.107030001004985,2.1002935626510357,2
2.2292509043783384,-1.466574388537892,1
-4.097593646246171,0.1573897292255414,2
-4.081623615587589,1.5055205279553852,2
-1.7200769343683215,-2.005568122857102,0
-2.277133817011717,-0.1495964277071873,2
-0.4499380480860809,-2.015340582958135,0
4.721055106062235,0.1159515870046171,1
2.768521019975544,0.7975501643993324,1
2.3501490959351243,-2.254726202537581,1
4.439322534500478,0.8312081828872027,1
-1.5577330213157965,-0.2462437030587008,0
-2.499540010714961,-1.531187417870795,0
1.843446935894532,0.3672122324288583,1
-3.045349569504647,-0.5484526732968275,2
-0.4075163534678786,-0.384336036786829,0
2.275049692482677,1.833448067228468,3
-3.65395600360537,-1.6185125898085442,0
-0.1026673812476153,-0.3181810321081703,0
3.46876640562088,3.2007801276846557,3
2.2954201134445564,-1.2816246018303328,1
-1.2294930642724238,1.4470339623550532,2
-2.31973852692474,0.4737998046972354,2
1.6432352153067586,-1.6686032965925348,1
-1.4233942048256116,3.391205384734962,2
-0.1177050942125679,-0.8109314729384205,0
-1.2683814358439636,-2.0774386286345408,0
-1.1323687038010135,-2.2084008732102607,0
4.178139610977624,1.449482742775242,1
1.3455634090767952,-2.0870222538186107,1
-2.6771946960924264,0.5833843925947058,2
-1.2349191820316183,0.0900085372587751,0
2.231760488116429,0.3160592002532321,1
-0.1289298674917388,-2.629594775050356,0
1.9121460827976184,-1.0091402244168663,1
1.248083061413991,1.0149854614914489,3
-3.727352566829597,-1.9368644085637825,0
-4.705251497127891,0.8841910800333788,2
3.4673627300072853,-1.7558516311183117,1
0.8803760479584799,-2.244023267799276,0
2.6470613345685226,1.0281046616081846,1
-4.635506394419596,-0.5030676407145576,2
-1.404202018753128,0.2207985432359397,0
-2.8284121390278685,2.7776706024130484,2
2.2140550854949903,-0.8787523766399776,1
4.031761317850063,-0.6378299890164572,1
0.1067415737601079,2.8444006425611112,3
-0.3116019550127241,0.1708338634246101,0
1.0460080304760186,0.5259171794405693,1
-1.0222935228439498,-1.5319054971297992,0
-2.09234172151186,-1.9733517345488745,0
-3.3455491337858625,4.727309345291332,2
-0.1400026683099812,2.0996156621651534,3
-0.0748866954064835,-2.5301121525475017,0
-0.8770934554321196,0.9821918849277678,2
4.043684721230429,-0.7317299893064693,1
-0.5768458091762612,2.0322983778800627,3
-4.2727416044506485,-0.8136691966327445,2
5.171814111165848,0.0183977424128026,1
1.4663794056902324,0.0391255763667116,1
0.997395447858713,2.7902627273585674,3
0.4811877457970344,-1.738380524274879,0
0.8615074597683277,-2.28740222904812,0
-3.995810938564716,-0.8540507762430063,2
4.213492516456585,-1.5830816901683815,1
-0.4167772446495891,0.2539540120343775,0
-1.2158048239484198,1.2865087786885792,2
2.1799031730465748,-0.7584605722837432,1
1.9255669452335435,-0.4443290632598994,1
0.3292158948283739,3.1985084702346467,3
4.451699752247357,-1.1158711766791998,1
3.146424228749086,-1.0246321081125636,1
-0.4591652489830963,-1.5275881376938634,0
0.8361025432212312,-1.8380435553377457,0
4.370548323099951,-1.123541178561443,1
-2.9648723656394638,-1.4138064868128255,0
4.063511110331897,-0.7587287335280419,1
1.94496836930233,0.814035440594717,1
4.184817269277464,0.4984029973329998,1
0.298891277403698,-0.6775471584955226,0
-3.420747355032636,-0.3497886242363552,2
0.1809091255203583,4.231830623846573,3
2.8304465702570583,4.159256622895091,3
-2.199780272308096,2.5422198967832297,2
2.108203254088898,-1.651732368279048,1
2.982766912960952,-0.0844064906125829,1
1.4696282938483234,-1.021601743790055,1
0.6369722913322804,-1.8264295556127208,0
-4.083519849556887,-0.561340666888771,2
3.9121801303450585,0.5556057496982478,1
2.4644847170716084,0.8119906678079656,1
1.8459746124713008,0.2357714856956631,1
3.7496768758775776,1.2894120852899131,1
-0.5735589941717713,-2.3207813900303043,0
-2.198238854049792,4.024324013321643,2
-1.5792666453966049,-1.9385087558455592,0
-0.6286065877447198,-2.0807945694282304,0
-1.8876236567842124,2.816708301922129,2
1.8923952606276129,-1.7751329827795264,1
0.994749897941208,2.2472775801388165,3
0.4237085295263816,4.317792362139937,3
2.8226447819707694,-1.3577023450677064,1
1.8273037311999072,2.3272572974547683,3
1.5219505037079997,-1.3254858238470273,1
-1.6051382059488286,2.4155246144375013,2
-1.2637703714101136,-2.1340052007561563,0
3.7033130538118257,-0.1585107609740722,1
-0.2750422882574163,-0.9097720022766796,0
1.2565756359896183,-1.889575925631616,1
-3.690384864086904,3.1332471818610017,2
-3.554508047158893,-2.7769746141425853,0
2.1976537107591727,1.5949744885996449,3
-3.4127576257622843,-2.1448223754545768,0
1.8031223523220496,-0.9814697130107748,1
1.9264622915207492,0.4537907340805963,1
1.7011596930890698,-0.2399819459668969,1
3.1533900457263364,-0.8273020813236482,1
-1.3231217520091956,1.7646852889043383,2
-0.4284946127444851,-0.8685767815576297,0
1.1387842806348594,-0.1666959956121245,1
-1.794830518712479,-1.86685242956313,0
2.8953730486708844,2.5969329779768904,3
1.7206556981479342,0.1501991227808,1
-1.0624665238165438,-2.288711221917947,0
2.373661121986584,-1.924112155314002,1
-0.0868475796005764,2.2659711775360583,3
0.3041433478065934,-1.6559311806763617,0
1.830617940810092,0.4086222183226773,1
-1.6852988421182975,-1.7571622421755406,0
-4.422909608784108,-0.056813490395154,2
0.6839839083666239,1.565026964314044,3
-2.2937710250778585,2.212201036308838,2
-5.510637064436277,3.102711188961191,2
-3.337752777710341,3.5110844717910226,2
3.931854065962376,-0.8547911902950489,1
0.0608814610040114,-0.7729509290960144,0
-1.4265308032972526,-2.176286823922714,0
-3.569527664762461,0.0564881767645342,2
-2.026719027098702,-2.0096887124211444,0
2.6762331317624977,-1.7289850126552542,1
-2.914430943686497,-0.7204966997238178,0
-3.982127490193213,-2.6311410096942764,0
-2.906323245604782,1.4030614076644654,2
-3.427796428566261,2.766107800237032,2
-4.548092812689918,-0.5120966015262768,2
-0.3063328218792251,0.6776650645934399,0
3.2384458454685507,-0.3824714056633577,1
0.8808030289274809,2.6996366736313897,3
-3.81972544895362,-0.6656187653144665,2
1.6702035392133598,-1.3175849659921102,1
4.535112932918536,0.2505561707870548,1
-3.23329491221332,0.3135060248755085,2
1.562752837538312,-1.2652854268808291,1
3.847876416753525,0.3093508109876599,1
1.3082188598891953,1.424638639700689,3
-4.615623514777657,4.649105758299784,2
3.459223145251524,0.3779666107528363,1
-1.96325516992086,3.7203383812280895,2
4.94541079834718,0.0814520160654699,1
-1.2864351195572672,-1.4273656326492568,0
2.006054013830437,1.04099159122829,1
2.4030562342664825,-1.2988949418912736,1
0.3851900443791093,-1.6470171012440795,0
0.7289897125330356,1.2039303386387692,3
-1.155492815965713,0.4746828456661668,0
-4.827381647862768,1.6982983595556571,2
6.009656041025712,2.6663399491741417,1
3.217269786087808,0.2892928757679504,1
3.8329498676326006,-0.1418664804935021,1
1.1547801437109824,-1.4302331008114295,1
0.4722030750071661,-0.5325561958742826,0
-2.166018841305996,2.560419529968768,2
-0.8638181120943711,0.8965133153618554,2
1.3004772932224071,-0.2632414320298862,1
1.045861453297002,0.4840520273844201,1
-1.034261110512999,-1.9325223196859624,0
-2.862800635016577,-2.5712356690428977,0
-0.7612635491355271,-2.2694347658849616,0
-2.5941317964906494,2.3476124286590325,2
0.4337307776952837,2.045473522527928,3
-1.1637134725222489,-2.477267185893609,0
-0.936632468170816,-0.3073800242012849,0
-1.8114159577731808,-1.1580455889908972,0
-3.472559288101653,-2.2153713999845617,0
1.0517790206716249,3.49918084956189,3
-1.7715950002384735,-2.170177642250549,0
0.417314300667121,-1.8599083182134144,0
3.3627935241446045,-0.9262888593895782,1
-0.9327389772802804,-0.6200255880852359,0
